product_url,club_name,product_name,sizes_available,colors_available,age_group,category_tier_1,category_tier_2,category_tier_3,gender,price,category_breadcrumb,Unnamed: 13,original_price,discount_percentage,description,technical_details,material,brand,in_stock,image_urls,scrape_timestamp,price_category,Unnamed: 23
https://locademia.racingclub.com.ar/tienda/accesorios/art-escolares/cartuchera-gajos-racing,Racing Club,Cartuchera Ecocuero Gajos Racing,unico,negro,juventud,accessories,escolar,cartuchera,mujer,16520.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:30:27,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/art-escolares/cartuchera-racing,Racing Club,Cartuchera Racing,unico,blanco/azul,juventud,accessories,escolar,cartuchera,mujer,21000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:30:17,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/art-escolares/cartuchera-racing-camepon-copa-sudamericana,Racing Club,Cartuchera Racing Camepon Copa Sudamericana,unico,blanco,juventud,accessories,escolar,cartuchera,mujer,5180.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:30:30,Budget (< $10k),
https://locademia.racingclub.com.ar/tienda/accesorios/art-escolares/cartucheraorganizador-racing,Racing Club,Cartuchera/Organizador Racing,unico,azul marino,juventud,accessories,escolar,cartuchera,mujer,5040.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:30:13,Budget (< $10k),
https://locademia.racingclub.com.ar/tienda/accesorios/banderasbanderines/bandera-grande-escudo,Racing Club,Bandera Grande Escudo,unico,blanco/azul,familia,accessories,bandera,,,22500.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:59,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/banderasbanderines/bandera-rc,Racing Club,Bandera Chica Rc,unico,blanco/azul,familia,accessories,bandera,,mujer,15000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:55,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/computacion/alfombra-gamer-escudo,Racing Club,Alfombra Gamer Escudo,unico,azul,familia,accessories,alfombra,alfombra,unisex,54000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:52,Premium ($50k-$100k),
https://locademia.racingclub.com.ar/tienda/accesorios/computacion/cable-usb-roller-cilindro,Racing Club,Cable Usb Roller Cilindro,unico,blanco,familia,accessories,oficina,usb cable,,15000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:35,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/computacion/funda-para-notebook-azul,Racing Club,Funda Para Notebook Azul,unico,azul marino,familia,accessories,oficina,funda para portátil,,16950.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:42,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/computacion/mouse-pad-con-gel,Racing Club,Mouse Pad Con Gel,unico,azul marino,familia,accessories,oficina,mousepad,,25000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:45,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/computacion/mousepad-xl-festejo,Racing Club,Mousepad Xl Festejo,unico,azul,familia,accessories,oficina,mousepad,,66000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:38,Premium ($50k-$100k),
https://locademia.racingclub.com.ar/tienda/accesorios/computacion/porta-notebook-ecocuero,Racing Club,Porta Notebook Ecocuero,unico,negro,familia,accessories,oficina,funda para portátil,,41400.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:49,Mid ($10k-$50k),
https://locademia.racingclub.com.ar/tienda/accesorios/equipaje/bolso-de-viaje-escudo-la-acade,Racing Club,"Bolso De Viaje Escudo ""La Acade""",unico,azul marino,adulto,accessories,mochilas & bolsos,bolso,,130000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:24,Luxury (> $100k),
https://locademia.racingclub.com.ar/tienda/accesorios/equipaje/mochila-de-viaje-la-academia,Racing Club,"Mochila De Viaje ""La Academia""",unico,azul marino,adulto,accessories,mochilas & bolsos,mochila,,94000.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:28,Premium ($50k-$100k),
https://locademia.racingclub.com.ar/tienda/accesorios/equipaje/valija-de-cabina-el-primer-grande,Racing Club,Valija De Cabina El Primer Grande,unico,blanco,adulto,accessories,viaje,maleta,,205700.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:31,Luxury (> $100k),
https://locademia.racingclub.com.ar/tienda/accesorios/equipaje/valija-de-cabina-el-primer-grande-prim02,Racing Club,Valija De Cabina El Primer Grande,unico,blanco,adulto,accessories,mochilas & bolsos,maleta,,205700.0,,,,,,,,Under Armour,TRUE,,2026-03-06 23:29:12,Luxury (> $100k),
